"id","label"
"http://purl.org/sig/ont/fma/fma66175","Intermediate lumbar lymph node"
"http://purl.org/sig/ont/fma/fma6710","Extra-laryngeal branch of recurrent laryngeal nerve to larynx"
"http://purl.org/sig/ont/fma/fma6711","Cardiac branch of right vagus to deep cardiac plexus"
"http://purl.org/sig/ont/fma/fma6715","Esophageal branch of anterior vagal trunk"
"http://purl.org/sig/ont/fma/fma6716","Esophageal branch of posterior vagal trunk"
"http://purl.org/sig/ont/fma/fma67977","Dorsal venous network of hand"
"http://purl.org/sig/ont/fma/fma6877","Cutaneous branch to scalp behind auricle"
"http://purl.org/sig/ont/fma/fma8627","Right superior segmental artery"
"http://purl.org/sig/ont/fma/fma8628","Right medial basal segmental artery"
"http://purl.org/sig/ont/fma/fma8630","Right anterior basal segmental artery"
"http://purl.org/sig/ont/fma/fma8642","Left superior segmental artery"
"http://purl.org/sig/ont/fma/fma8644","Left medial basal segmental artery"
"http://purl.org/sig/ont/fma/fma8645","Left anterior basal segmental artery"
"http://purl.org/sig/ont/fma/fma8788","Posterior ramus of second cervical nerve"
"http://purl.org/sig/ont/fma/fma67532","External carotid nerve plexus"
"http://purl.org/sig/ont/fma/fma68069","Right inferior phrenic vein"
"http://purl.org/sig/ont/fma/fma68070","Left inferior phrenic vein"
"http://purl.org/sig/ont/fma/fma68193","Medial segmental artery"
"http://purl.org/sig/ont/fma/fma68194","Lateral segmental artery"
"http://purl.org/sig/ont/fma/fma6874","Branch to great auricular nerve"
"http://purl.org/sig/ont/fma/fma6875","Branch to greater occipital nerve"
"http://purl.org/sig/ont/fma/fma6878","Auricular branch to skin of upper third of medial auricle"
"http://purl.org/sig/ont/fma/fma6879","Branch to posterior branch of great auricular nerve"
"http://purl.org/sig/ont/fma/fma6942","Interganglionic branch of inferior cervical ganglion to middle cervical ganglion"
"http://purl.org/sig/ont/fma/fma69585","Medial part of dorsal digital artery of great toe"
"http://purl.org/sig/ont/fma/fma69589","Medial part of dorsal digital artery of fifth toe"
"http://purl.org/sig/ont/fma/fma69601","Lateral part of dorsal digital artery of great toe"
"UBERON:0013144","vein of genicular venous plexus"
"UBERON:0013485","crypt of Lieberkuhn of colon"
"UBERON:0013648","masseteric artery"
"UBERON:0014686","angular vein"
"UBERON:0014690","left gastric vein"
"UBERON:0014691","right gastric vein"
"UBERON:0014692","superficial epigastric vein"
"UBERON:0014693","inferior alveolar artery"
"UBERON:0014694","posterior auricular artery"
"UBERON:0014695","deep auricular artery"
"UBERON:0014696","anterior choroidal artery"
"UBERON:0014726","intercalated duct of pancreas"
"UBERON:0014768","superior palpebral vein"
"UBERON:0014772","lateral palpebral artery"
"UBERON:0014773","medial palpebral artery"
"UBERON:0015157","zygomatico-orbital artery"
"UBERON:0015160","supraorbital artery"
"UBERON:0015171","uterine spiral artery"
"UBERON:0015173","helicine branch of uterine artery"
"UBERON:0015174","helicine artery of penis"
"UBERON:0015350","saphenous artery"
"UBERON:0015480","proper hepatic artery"
"UBERON:0015481","left hepatic artery"
"UBERON:0015482","right hepatic artery"
"UBERON:0016405","pulmonary capillary"
"UBERON:0016493","palmaris longus muscle"
"UBERON:0017618","extensor pollicis brevis muscle"
"UBERON:0017637","marginal venous sinus"
"UBERON:0018243","thymic artery"
"UBERON:0018252","internal pudendal vein"
"UBERON:0018253","external pudendal vein"
"UBERON:0018255","jejunal artery"
"UBERON:0018256","lacrimal vein"
"UBERON:0018397","posterior superior alveolar artery"
"UBERON:0034693","cremasteric artery"
"UBERON:0034727","vestibular bulb artery"
"UBERON:0034927","arcuate artery of foot"
"UBERON:0034964","superficial epigastric artery"
"UBERON:0034965","middle thyroid vein"
"UBERON:0034981","superior bulb of internal jugular vein"
"UBERON:0034982","inferior bulb of internal jugular vein"
"UBERON:0035040","superior rectal artery"
"UBERON:0035042","middle temporal artery"
"UBERON:0035150","superior cerebral vein"
"UBERON:0035152","internal cerebral vein"
